rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
494	1	2	2	0.336794268539307	-74.394514599771	1	129.388607289788	C17H18N2O4	[M + H]+	YXVOSJLRRYYIGV	InChI=1S/C17H18N2O4/c1-20-13-6-5-10(7-14(13)21-2)17-18-11-8-15(22-3)16(23-4)9-12(11)19-17/h5-9H,1-4H3,(H,18,19)	null	COC1=C(C=C(C=C1)C2=NC3=CC(=C(C=C3N2)OC)OC)OC	3	39158333	PubChem:(39158333)	2	315.133850097656	607.685165405273	2974_ms2_res_3974
495	2	2	2	0.336345962553009	-57.279752282256	1	-0.599826792681783	C2H4O2P2	[M - H2O + H]+	OXOZQHCYVDGSGS	InChI=1S/C2H4O2P2/c1-4-6(3)5-2/h2H,1H3	null	COP(=O)=P#C	-0.400000006	117682861	PubChem:(117682861)	2	104.963539123535	722.688961029053	3533_ms2_res_4746
496	1	2	2	0.335812737126427	-15.9905303215558	1	45.2899791432563	C5H11NO2	[M + H]+	KZSNJWFQEVHDMF	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)	valinium	CC(C)C(C(=O)O)N	-0.246263295	1182;6287;71563;450561;450563;450608;5237032;5249995;5460778;5460779;5460780;5460782;5460783;10558606;10582777;10630469;10701819;6971018;6971095;10820516;12164856;12169458;10898704;10942401;13000923;13000932;13000937;13000940;13000941;10129939;11051625;10154046;10219417;11815847;11829420;11263496;11274992;16220099;25240090;25240264;25240306;25240814;46932040;54022222;55291455;57616913;57616900;57616925;59610605;59859246;59859251;58203010;71752902;71308955;71308958;87647253;88733505;90791724;89565427;90969676;90477514;90477619;102009866;102009869;102009871;101265969;101337152;102353919;117064718;118175751;123374060;124202801;130464403;129736630;129795394;131698531;131708713;129883848;139024043	HMDB:(883);PubChem class - food;SuperNatural:(SN00237484);ZINC bio:(ZINC00895099 ZINC00896156);additional;HSDB:(72-18-4);MeSH:(1182 6287);Plantcyc:(CPD-3642 VAL);PubMed;NORMAN:(NS00002500);COCONUT:(CNP0082278 CNP0152507);KNApSAcK:(1398);Natural Products:(UNPD88827);PubChem:(1182 6287 71563 450561 450563 450608 5237032 5249995 5460778 5460779 5460780 5460782 5460783 10558606 10582777 10630469 10701819 6971018 6971095 10820516 12164856 12169458 10898704 10942401 13000923 13000932 13000937 13000940 13000941 10129939 11051625 10154046 10219417 11815847 11829420 11263496 11274992 16220099 25240090 25240264 25240306 25240814 46932040 54022222 55291455 57616913 57616900 57616925 59610605 59859246 59859251 58203010 71752902 71308955 71308958 87647253 88733505 90791724 89565427 90969676 90477514 90477619 102009866 102009869 102009871 101265969 101337152 102353919 117064718 118175751 123374060 124202801 130464403 129736630 129795394 131698531 131708713 129883848 139024043);CHEBI:(87977 27477 74338 32856 16414 32852 57762 32860 32859 32855 32851 27266);PubChem class - bio and metabolites;KEGG:(C00183 C16436 C06417);PubChem class - safety and toxic;YMDB:(1000 152);Training Set;PubChem class - drug;Biocyc:(SMA-0000595 VAL CPD1UA-18 CPD-3642)	255847294	118.086471557617	269.497747421265	1321_ms2_res_1762
497	1	1	1	0.33478447281439	-162.600808931575	1	51.04564171967	C4H11N3O3	[M - H2O + H]+	SEUTWLTWIBCQNY	InChI=1S/C4H11N3O3/c5-3(4(8)9)1-2-10-7-6/h3,7H,1-2,5-6H2,(H,8,9)	null	C(CONN)C(C(=O)O)N	-1.93774605	121375763	PubChem:(121375763)	2	132.076995849609	44.3037664890289	212_ms2_res_283
498	1	2	2	0.329568907657617	-15.1917279555323	1	37.7944748424043	C10H11NO	[M - H2O + H]+	MBBOMCVGYCRMEA	InChI=1S/C10H11NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,7,11-12H,5-6H2	bmse000473	C1=CC=C2C(=C1)C(=CN2)CCO	1.86700904	10685;11263702;101132237	HMDB:(3447);ZINC bio:(ZINC00003252);additional;MeSH:(10685);Plantcyc:(CPD-341);PubMed;NORMAN:(NS00014703);COCONUT:(CNP0231418);KNApSAcK:(114);Natural Products:(UNPD191055);PubChem:(10685 11263702 101132237);CHEBI:(17890);PubChem class - bio and metabolites;KEGG:(C00955);PubChem class - safety and toxic;YMDB:(577);Training Set;Biocyc:(CPD-341)	87026046	144.081039428711	202.680945396423	1001_ms2_res_1335
499	1	2	2	0.329568907657617	-15.1917279555323	1	37.7944748424043	C10H11NO	[M - H2O + H]+	MBBOMCVGYCRMEA	InChI=1S/C10H11NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,7,11-12H,5-6H2	bmse000473	C1=CC=C2C(=C1)C(=CN2)CCO	1.86700904	10685;11263702;101132237	HMDB:(3447);ZINC bio:(ZINC00003252);additional;MeSH:(10685);Plantcyc:(CPD-341);PubMed;NORMAN:(NS00014703);COCONUT:(CNP0231418);KNApSAcK:(114);Natural Products:(UNPD191055);PubChem:(10685 11263702 101132237);CHEBI:(17890);PubChem class - bio and metabolites;KEGG:(C00955);PubChem class - safety and toxic;YMDB:(577);Training Set;Biocyc:(CPD-341)	87026046	144.081069946289	198.957381248474	981_ms2_res_1308
500	1	2	2	0.329056360552987	-6.61732778880241	1	42.9573122767419	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	697.244968414307	3413_ms2_res_4576
501	1	1	1	0.328864771210689	-13.5585685356958	1	9111.51409003121	C25H46NO7P	[M + Na]+	UEONHLLDVDPRRN	InChI=1S/C25H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)31-22-24(27)23-33-34(29,30)32-21-20-26/h3-4,6-7,9-10,24,27H,2,5,8,11-23,26H2,1H3,(H,29,30)	null	CCC=CCC=CCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O	2.20000005	53480950;138270216	COCONUT:(CNP0341140);HMDB:(11514);PubChem:(53480950 138270216);Lipid:(LPE(20:3));PubChem class - bio and metabolites	4313841674	526.293640136719	557.859592437744	2720_ms2_res_3630
502	1	2	2	0.328474389603856	-9.38763404544681	1	53.1437440554629	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	388.54588508606	1891_ms2_res_2522
503	1	2	2	0.328267422693746	-42.4286911929395	1	67.7969569509788	C9H16N2O2	[M + H]+	OAUYENAPBFTAQT	InChI=1S/C9H16N2O2/c1-8(12)10-5-3-7-11-6-2-4-9(11)13/h2-7H2,1H3,(H,10,12)	Acisoga	CC(=O)NCCCN1CCCC1=O	-0.5	129397	COCONUT:(CNP0205490);HMDB:(61384);PubChem:(129397);CHEBI:(133185);PubChem class - bio and metabolites;MeSH:(129397);PubMed	18874478	185.12890625	198.881964683533	980_ms2_res_1307
504	1	2	2	0.328267422693746	-42.4286911929395	1	67.7969569509788	C9H16N2O2	[M + H]+	OAUYENAPBFTAQT	InChI=1S/C9H16N2O2/c1-8(12)10-5-3-7-11-6-2-4-9(11)13/h2-7H2,1H3,(H,10,12)	Acisoga	CC(=O)NCCCN1CCCC1=O	-0.5	129397	COCONUT:(CNP0205490);HMDB:(61384);PubChem:(129397);CHEBI:(133185);PubChem class - bio and metabolites;MeSH:(129397);PubMed	18874478	185.128784179688	194.832072257996	959_ms2_res_1279
505	1	1	1	0.328063075120433	-24.1273631903027	1	12.5329521338223	C7H8O	[M - H2O + H]+	WVDDGKGOMKODPV	InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2	Bentalol	C1=CC=C(C=C1)CO	1.38857591	244;12203061;12203062;12203063;12203065;12203066;12203067;10996983;11062333;10396806;16212326;16212467;16213529;16217365;21644009;25241606;58680696;71816986;87556027;88581849;90988996;101134140;101137830;102013705;101676957	HMDB:(3119);PubChem class - food;SuperNatural:(SN00001752);ZINC bio:(ZINC00895302);additional;HSDB:(100-51-6);MeSH:(244);Plantcyc:(BENZYL-ALCOHOL);PubMed;NORMAN:(NS00009775);COCONUT:(CNP0263608);KNApSAcK:(29811);Natural Products:(UNPD138820);PubChem:(244 12203061 12203062 12203063 12203065 12203066 12203067 10996983 11062333 10396806 16212326 16212467 16213529 16217365 21644009 25241606 58680696 71816986 87556027 88581849 90988996 101134140 101137830 102013705 101676957);CHEBI:(17987);PubChem class - bio and metabolites;KEGG:(C03485 C00556);PubChem class - safety and toxic;YMDB:(1426);PubChem class - drug;Biocyc:(BENZYL-ALCOHOL)	255830910	91.054237365723	241.380958557129	1188_ms2_res_1584
506	1	2	2	0.325757717402156	-7.70945956052118	1	48.9853221871499	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	234.287095069885	1153_ms2_res_1538
507	1	2	2	0.325670617239516	-7.69831461219296	1	48.9681999847793	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	230.567193031311	1135_ms2_res_1514
508	1	2	2	0.325479983369127	-7.67018049094634	1	49.0149446175859	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	223.229684829712	1101_ms2_res_1468
509	1	1	1	0.324922230991418	-2.20620543594304	1	6045.63041454575	C26H52NO7P	[M + H]+	YAMUFBLWGFFICM	InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/p+1	Lysolecithin	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.80000019	440164;3082003;6030826;5280634;5313986;5313987;5313988;6449974;10075405;10075406;16081932;24779466;57369594;57369595;71309832;71309833;88895073;117064622;117064623;118976075;131707439;131707440	HMDB:(2815);SuperNatural:(SN00036456 SN00036457);ZINC bio:(ZINC08218947 ZINC08218951);additional;MeSH:(440164 5313988 6449974 16081932);PubMed;Lipid:(LPC(18:1));COCONUT:(CNP0152025);Natural Products:(UNPD65944);PubChem:(440164 3082003 6030826 5280634 5313986 5313987 5313988 6449974 10075405 10075406 16081932 24779466 57369594 57369595 71309832 71309833 88895073 117064622 117064623 118976075 131707439 131707440);CHEBI:(72589 28610);PubChem class - bio and metabolites;KEGG:(C03916);YMDB:(1190 1810);Training Set;Biocyc:(CPD-8346)	4315539822	522.356018066406	571.492023468018	2788_ms2_res_3723
510	1	1	1	0.324922230991418	-2.20620543594304	1	6045.63041454575	C26H52NO7P	[M + H]+	YAMUFBLWGFFICM	InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/p+1	Lysolecithin	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.80000019	440164;3082003;6030826;5280634;5313986;5313987;5313988;6449974;10075405;10075406;16081932;24779466;57369594;57369595;71309832;71309833;88895073;117064622;117064623;118976075;131707439;131707440	HMDB:(2815);SuperNatural:(SN00036456 SN00036457);ZINC bio:(ZINC08218947 ZINC08218951);additional;MeSH:(440164 5313988 6449974 16081932);PubMed;Lipid:(LPC(18:1));COCONUT:(CNP0152025);Natural Products:(UNPD65944);PubChem:(440164 3082003 6030826 5280634 5313986 5313987 5313988 6449974 10075405 10075406 16081932 24779466 57369594 57369595 71309832 71309833 88895073 117064622 117064623 118976075 131707439 131707440);CHEBI:(72589 28610);PubChem class - bio and metabolites;KEGG:(C03916);YMDB:(1190 1810);Training Set;Biocyc:(CPD-8346)	4315539822	522.356262207031	575.386047363281	2808_ms2_res_3750
511	1	1	1	0.324921713837415	-2.20768650029694	1	6045.63041454575	C26H52NO7P	[M + H]+	YAMUFBLWGFFICM	InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/p+1	Lysolecithin	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.80000019	440164;3082003;6030826;5280634;5313986;5313987;5313988;6449974;10075405;10075406;16081932;24779466;57369594;57369595;71309832;71309833;88895073;117064622;117064623;118976075;131707439;131707440	HMDB:(2815);SuperNatural:(SN00036456 SN00036457);ZINC bio:(ZINC08218947 ZINC08218951);additional;MeSH:(440164 5313988 6449974 16081932);PubMed;Lipid:(LPC(18:1));COCONUT:(CNP0152025);Natural Products:(UNPD65944);PubChem:(440164 3082003 6030826 5280634 5313986 5313987 5313988 6449974 10075405 10075406 16081932 24779466 57369594 57369595 71309832 71309833 88895073 117064622 117064623 118976075 131707439 131707440);CHEBI:(72589 28610);PubChem class - bio and metabolites;KEGG:(C03916);YMDB:(1190 1810);Training Set;Biocyc:(CPD-8346)	4315539822	522.356201171875	579.030361175537	2827_ms2_res_3776
512	1	1	1	0.324921713837415	-2.20768650029694	1	6045.63041454575	C26H52NO7P	[M + H]+	YAMUFBLWGFFICM	InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/p+1	Lysolecithin	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.80000019	440164;3082003;6030826;5280634;5313986;5313987;5313988;6449974;10075405;10075406;16081932;24779466;57369594;57369595;71309832;71309833;88895073;117064622;117064623;118976075;131707439;131707440	HMDB:(2815);SuperNatural:(SN00036456 SN00036457);ZINC bio:(ZINC08218947 ZINC08218951);additional;MeSH:(440164 5313988 6449974 16081932);PubMed;Lipid:(LPC(18:1));COCONUT:(CNP0152025);Natural Products:(UNPD65944);PubChem:(440164 3082003 6030826 5280634 5313986 5313987 5313988 6449974 10075405 10075406 16081932 24779466 57369594 57369595 71309832 71309833 88895073 117064622 117064623 118976075 131707439 131707440);CHEBI:(72589 28610);PubChem class - bio and metabolites;KEGG:(C03916);YMDB:(1190 1810);Training Set;Biocyc:(CPD-8346)	4315539822	522.356323242188	567.918491363525	2769_ms2_res_3698
513	1	2	2	0.32356126840121	-8.09654880597538	1	49.0178922317602	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	264.549350738525	1297_ms2_res_1730
514	1	2	2	0.323515454074579	-8.11499919046598	1	48.9617467773699	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	257.009325027466	1261_ms2_res_1682
515	1	2	2	0.323467240475183	-8.10460950090931	1	49.0118619838509	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	260.810880661011	1279_ms2_res_1706
516	1	2	2	0.323176355645194	-8.14834743035987	1	49.008089655715	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	253.219127655029	1243_ms2_res_1658
517	1	2	2	0.323176043507357	-8.12962730115037	1	49.0238990491986	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	249.431104660034	1225_ms2_res_1634
518	1	2	2	0.32198569871849	-8.05863661787856	1	49.3686434105274	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	279.640474319458	1369_ms2_res_1826
519	1	2	2	0.321726324213207	-8.00237657872836	1	49.3331478540256	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	275.863380432129	1351_ms2_res_1802
520	1	2	2	0.321633664742099	-8.1268823706944	1	49.050494822937	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	245.621709823608	1207_ms2_res_1610
521	1	2	2	0.32154073670577	-8.11344612779288	1	49.0153962979433	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	238.028483390808	1171_ms2_res_1562
522	1	2	2	0.321433630477104	-8.03012287980774	1	49.3774227222715	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	283.438882827759	1387_ms2_res_1850
523	1	2	2	0.320987984545278	-8.15602500378968	1	49.0192145807084	C16H22O4	[M + H]+	DOIRQSBPFJWKBE	InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3	Hatcol DBP	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	4.27248192	3026;171810;16213410;102601147	HMDB:(33244);PubChem class - food;SuperNatural:(SN00002502);ZINC bio:(ZINC01693431);additional;HSDB:(84-74-2);MeSH:(3026);PubMed;NORMAN:(NS00010095);COCONUT:(CNP0076203 CNP0105770);Natural Products:(UNPD71190);PubChem:(3026 171810 16213410 102601147);CHEBI:(34687);PubChem class - bio and metabolites;KEGG:(C14214);PubChem class - safety and toxic;Training Set;PubChem class - drug	255648622	279.159088134766	241.803216934204	1189_ms2_res_1586
